app_name
GitHub
Slack
HubSpot
Google Calendar
Spotify
Twitter
Trello
Etsy
Auth0
Salesforce
Stripe
SendGrid
Mailgun
Notion
OpenWeatherMap
NASA API
Open-Meteo
Monday.com
Superhuman
Discord
